coc_id,year,field_id,class,manual_value,auto_value,source_page,reason
AK-501,2024,1a_4,C_label,Instititue for Community Alliances,Institute for Community Alliances,1,manual='instititue for community alliances'/auto='institute for community alliances'
AL-504,2024,1b_1_21_ces,A_categorical,Yes,No,4,manual='Yes'/auto='No'
AL-504,2024,2a_5_1_coverage,B_percent,169.0,1.69,37,manual=169.0/auto=1.69
AL-504,2024,2a_5_5_coverage,B_percent,178.0,1.78,37,manual=178.0/auto=1.78
AR-501,2024,1a_4,C_label,Northwest Arkansa Continuum of Care,Northwest Arkansas Continuum of Care,2,manual='northwest arkansa continuum of care'/auto='northwest arkansas continuum of care'
AR-501,2024,1b_1_3_voted,A_categorical,Yed,Yes,3,manual='Yed'/auto='Yes'
AR-501,2024,1b_1_4_voted,A_categorical,Yed,Yes,3,manual='Yed'/auto='Yes'
AZ-500,2024,1b_1_3_voted,A_categorical,Yed,Yes,3,manual='Yed'/auto='Yes'
AZ-500,2024,1b_1_4_voted,A_categorical,Yed,Yes,3,manual='Yed'/auto='Yes'
AZ-502,2024,1b_1_4_voted,A_categorical,Yed,Yes,3,manual='Yed'/auto='Yes'
CA-500,2024,1a_1b,C_label,San Jose/ Santa Clara City & County CoC,San Jose/Santa Clara City & County CoC,2,manual='san jose/ santa clara city & county coc'/auto='san jose/santa clara city & county coc'
CA-501,2024,1b_1_1_ces,A_categorical,No,Yes,3,manual='No'/auto='Yes'
CA-501,2024,1b_1_7_voted,A_categorical,Yes,No,3,manual='Yes'/auto='No'
CA-502,2024,2a_5_6_hmis,B_integer,16.0,166,48,manual=16/auto=166
CA-505,2024,1a_4,C_label,Contra Costa Heath Services,Contra Costa Health Services,2,manual='contra costa heath services'/auto='contra costa health services'
CA-505,2024,2a_5_2_non_vsp,B_integer,0.0,,,auto_blank
CA-505,2024,2a_5_2_vsp,B_integer,0.0,,,auto_blank
CA-505,2024,2a_5_2_hmis,B_integer,0.0,,,auto_blank
CA-505,2024,2a_5_2_coverage,B_percent,Empty,,,auto_blank
CA-505,2024,2a_5_3_coverage,B_percent,33.3,0.3333,49,manual=33.3/auto=33.33
CA-505,2024,2a_6,A_categorical,Yes,No,80,manual='Yes'/auto='No'
CA-506,2024,1a_2,C_label,Coalition of Homeless Service Providers,Coalition of Homeless Services Providers,2,manual='coalition of homeless service providers'/auto='coalition of homeless services providers'
CA-506,2024,1b_1_6_meetings,A_categorical,,Yes,3,manual_blank
CA-506,2024,1b_1_6_voted,A_categorical,,Yes,3,manual_blank
CA-506,2024,1b_1_6_ces,A_categorical,,Yes,3,manual_blank
CA-506,2024,1b_1_7_meetings,A_categorical,,No,3,manual_blank
CA-506,2024,1b_1_7_voted,A_categorical,,No,3,manual_blank
CA-506,2024,1b_1_7_ces,A_categorical,,Yes,3,manual_blank
CA-506,2024,1b_1_8_meetings,A_categorical,,Nonexistent,3,manual_blank
CA-506,2024,1b_1_8_voted,A_categorical,,No,3,manual_blank
CA-506,2024,1b_1_8_ces,A_categorical,,No,3,manual_blank
CA-506,2024,1b_1_9_meetings,A_categorical,,Yes,3,manual_blank
CA-506,2024,1b_1_9_voted,A_categorical,,No,3,manual_blank
CA-506,2024,1b_1_9_ces,A_categorical,,Yes,3,manual_blank
CA-506,2024,1b_1_10_meetings,A_categorical,,Yes,3,manual_blank
CA-506,2024,1b_1_10_voted,A_categorical,,Yes,3,manual_blank
CA-506,2024,1b_1_10_ces,A_categorical,,No,3,manual_blank
CA-506,2024,1b_1_11_meetings,A_categorical,,Yes,3,manual_blank
CA-506,2024,1b_1_11_voted,A_categorical,,Yes,3,manual_blank
CA-506,2024,1b_1_11_ces,A_categorical,,Yes,3,manual_blank
CA-506,2024,1b_1_12_meetings,A_categorical,,Yes,3,manual_blank
CA-506,2024,1b_1_12_voted,A_categorical,,Yes,3,manual_blank
CA-506,2024,1b_1_12_ces,A_categorical,,Yes,3,manual_blank
CA-506,2024,1b_1_13_meetings,A_categorical,,Yes,3,manual_blank
CA-506,2024,1b_1_13_voted,A_categorical,,Yes,3,manual_blank
CA-506,2024,1b_1_13_ces,A_categorical,,Yes,3,manual_blank
CA-506,2024,1b_1_14_meetings,A_categorical,,Yes,3,manual_blank
CA-506,2024,1b_1_14_voted,A_categorical,,Yes,3,manual_blank
CA-506,2024,1b_1_14_ces,A_categorical,,Yes,3,manual_blank
CA-506,2024,1b_1_15_meetings,A_categorical,,Yes,3,manual_blank
CA-506,2024,1b_1_15_voted,A_categorical,,Yes,3,manual_blank
CA-506,2024,1b_1_15_ces,A_categorical,,Yes,3,manual_blank
CA-506,2024,1b_1_16_meetings,A_categorical,,Yes,3,manual_blank
CA-506,2024,1b_1_16_voted,A_categorical,,Yes,3,manual_blank
CA-506,2024,1b_1_16_ces,A_categorical,,Yes,3,manual_blank
CA-506,2024,1b_1_17_meetings,A_categorical,,Yes,4,manual_blank
CA-506,2024,1b_1_17_voted,A_categorical,,Yes,4,manual_blank
CA-506,2024,1b_1_17_ces,A_categorical,,Yes,4,manual_blank
CA-506,2024,1b_1_18_meetings,A_categorical,,Yes,4,manual_blank
CA-506,2024,1b_1_18_voted,A_categorical,,No,4,manual_blank
CA-506,2024,1b_1_18_ces,A_categorical,,Yes,4,manual_blank
CA-506,2024,1b_1_19_meetings,A_categorical,,Yes,4,manual_blank
CA-506,2024,1b_1_19_voted,A_categorical,,Yes,4,manual_blank
CA-506,2024,1b_1_19_ces,A_categorical,,Yes,4,manual_blank
CA-506,2024,1b_1_20_meetings,A_categorical,,Yes,4,manual_blank
CA-506,2024,1b_1_20_voted,A_categorical,,Yes,4,manual_blank
CA-506,2024,1b_1_20_ces,A_categorical,,Yes,4,manual_blank
CA-506,2024,1b_1_21_meetings,A_categorical,,Yes,4,manual_blank
CA-506,2024,1b_1_21_voted,A_categorical,,Yes,4,manual_blank
CA-506,2024,1b_1_21_ces,A_categorical,,Yes,4,manual_blank
CA-506,2024,1b_1_22_meetings,A_categorical,,Yes,4,manual_blank
CA-506,2024,1b_1_22_voted,A_categorical,,Yes,4,manual_blank
CA-506,2024,1b_1_22_ces,A_categorical,,Yes,4,manual_blank
CA-506,2024,1b_1_23_meetings,A_categorical,,Yes,4,manual_blank
