spec,variable,coef,se,pvalue,n
B1·DV1 OLS+CoC FE,const,0.88348,0.39711,0.0269,595
B1·DV1 OLS+CoC FE,post,0.0579,0.03427,0.0922,595
B1·DV1 OLS+CoC FE,did_blue,0.05659,0.0459,0.21859,595
B1·DV1 OLS+CoC FE,hf_pct,-0.13285,0.08868,0.13525,595
B1·DV1 OLS+CoC FE,hmis_cov,0.12287,0.08122,0.13146,595
B1·DV1 OLS+CoC FE,log_beds,-0.01356,0.05231,0.79566,595
B1·DV1 OLS+CoC FE,ple_ces_bin,-0.0432,0.05956,0.4689,595
B2·DV1 OLS+CoC+Year FE,const,0.90988,0.57516,0.1148,595
B2·DV1 OLS+CoC+Year FE,did_blue,0.0559,0.06701,0.40492,595
B2·DV1 OLS+CoC+Year FE,hf_pct,-0.13562,0.12634,0.28398,595
B2·DV1 OLS+CoC+Year FE,hmis_cov,0.12166,0.11905,0.30768,595
B2·DV1 OLS+CoC+Year FE,log_beds,-0.01284,0.07662,0.86706,595
B2·DV1 OLS+CoC+Year FE,ple_ces_bin,-0.0444,0.08721,0.61106,595
B3·DV1 frac-logit + Mundlak,const,-1.67356,0.7682,0.02937,595
B3·DV1 frac-logit + Mundlak,blue_state,-0.31197,0.2074,0.13253,595
B3·DV1 frac-logit + Mundlak,post,0.21008,0.20339,0.30166,595
B3·DV1 frac-logit + Mundlak,did_blue,0.54811,0.26169,0.03621,595
B3·DV1 frac-logit + Mundlak,hf_pct,-0.49247,0.40722,0.22653,595
B3·DV1 frac-logit + Mundlak,hmis_cov,0.60176,0.40589,0.13819,595
B3·DV1 frac-logit + Mundlak,log_beds,-0.11772,0.28594,0.68055,595
B3·DV1 frac-logit + Mundlak,ple_ces_bin,-0.19104,0.34402,0.57868,595
B3·DV1 frac-logit + Mundlak,hf_pct_bar,1.42735,0.58629,0.01491,595
B3·DV1 frac-logit + Mundlak,hmis_cov_bar,0.03773,0.57631,0.9478,595
B3·DV1 frac-logit + Mundlak,log_beds_bar,0.30207,0.29376,0.30381,595
B3·DV1 frac-logit + Mundlak,ple_ces_bin_bar,0.25634,0.42676,0.54807,595
B4·DV1 event study (pre-trend placebo),const,-1.79257,0.77745,0.02113,595
B4·DV1 event study (pre-trend placebo),blue_state,-0.22707,0.24119,0.34647,595
B4·DV1 event study (pre-trend placebo),post_2023,0.21574,0.15784,0.17168,595
B4·DV1 event study (pre-trend placebo),post,0.33385,0.22263,0.13371,595
B4·DV1 event study (pre-trend placebo),did_blue_placebo_2023,-0.14599,0.20383,0.47385,595
B4·DV1 event study (pre-trend placebo),did_blue,0.4621,0.29229,0.11389,595
B4·DV1 event study (pre-trend placebo),hf_pct,-0.53448,0.39228,0.17304,595
B4·DV1 event study (pre-trend placebo),hmis_cov,0.58525,0.415,0.15846,595
B4·DV1 event study (pre-trend placebo),log_beds,-0.10957,0.29041,0.70595,595
B4·DV1 event study (pre-trend placebo),ple_ces_bin,-0.18266,0.35083,0.60261,595
B4·DV1 event study (pre-trend placebo),hf_pct_bar,1.45204,0.57258,0.01121,595
B4·DV1 event study (pre-trend placebo),hmis_cov_bar,0.04426,0.58432,0.93962,595
B4·DV1 event study (pre-trend placebo),log_beds_bar,0.29701,0.29799,0.31891,595
B4·DV1 event study (pre-trend placebo),ple_ces_bin_bar,0.24665,0.43116,0.56728,595
B5·DV2 engagement-only,const,0.43121,1.50583,0.7746,595
B5·DV2 engagement-only,blue_state,-0.58474,0.69153,0.39779,595
B5·DV2 engagement-only,post,-0.61921,0.48807,0.20455,595
B5·DV2 engagement-only,did_blue,0.42655,0.66796,0.5231,595
B5·DV2 engagement-only,hf_pct,0.07394,1.11795,0.94727,595
B5·DV2 engagement-only,hmis_cov,0.12295,0.77672,0.87423,595
B5·DV2 engagement-only,log_beds,0.25237,0.76793,0.74243,595
B5·DV2 engagement-only,ple_ces_bin,-1.40684,0.98592,0.1536,595
B5·DV2 engagement-only,hf_pct_bar,1.96379,2.07283,0.34344,595
B5·DV2 engagement-only,hmis_cov_bar,1.23072,1.17128,0.29337,595
B5·DV2 engagement-only,log_beds_bar,-0.23737,0.81839,0.77178,595
B5·DV2 engagement-only,ple_ces_bin_bar,1.19795,1.04212,0.25034,595
B6·DV3 binary (implemented),const,-3.57609,1.09827,0.00113,595
B6·DV3 binary (implemented),blue_state,-0.48927,0.31513,0.12051,595
B6·DV3 binary (implemented),post,0.70345,0.32649,0.03119,595
B6·DV3 binary (implemented),did_blue,0.88613,0.43273,0.04058,595
B6·DV3 binary (implemented),hf_pct,-0.57919,0.74978,0.43983,595
B6·DV3 binary (implemented),hmis_cov,0.68556,0.64564,0.28831,595
B6·DV3 binary (implemented),log_beds,-0.1775,0.52338,0.73451,595
B6·DV3 binary (implemented),ple_ces_bin,-0.11889,0.53063,0.82272,595
B6·DV3 binary (implemented),hf_pct_bar,1.57441,0.95531,0.09934,595
B6·DV3 binary (implemented),hmis_cov_bar,0.23449,0.82267,0.77562,595
B6·DV3 binary (implemented),log_beds_bar,0.45672,0.53084,0.38958,595
B6·DV3 binary (implemented),ple_ces_bin_bar,0.5365,0.61694,0.38451,595
B3·DV1 frac-logit + Mundlak,did_blue_bootstrap_p,,,0.036,
