model,variable,coef,se,pvalue
D1,const,0.742281110903188,0.012146073228864945,0.0
D1,post,0.06155704697986579,0.04374823164330481,0.16098887189731137
D1,did,0.04960790147374248,0.05451944293395162,0.36398645172779265
D2,const,0.7711879941836745,0.022925046205014205,0.0
D2,did,0.04861132001785333,0.07890036735559057,0.5385403206316961
D3,const,0.7777878787878783,0.043569158412603046,0.0
D3,nonprofit_led,-0.06881962481962353,0.052845652248863104,0.1935585147232579
D3,post_2023,-0.0047453255963882685,0.04047396332947819,0.9067246082491478
D3,post,0.09026767676767807,0.049366394450922675,0.0682025325658604
D3,did_placebo_2023,0.030802712653775002,0.04942809275740893,0.5335137775028884
D3,did,0.016072402597401485,0.06074928218655331,0.7914751038017309
D4,const,0.5725007618415479,0.02343631963897704,0.0
D4,post,0.2080536912751679,0.08095895909096767,0.010916357561309376
D4,did,0.06342397195507272,0.10344477546589492,0.5405083636323402
D5,const,1.0875599786675012,0.4234383432536928,0.010984873706928688
D5,post,0.0686825280602255,0.044487716067667826,0.12428767644963057
D5,did,0.028926311742346274,0.05571040752144918,0.604207193268028
D5,hf_pct,-0.14731940690305256,0.10920190387619208,0.17892473522624375
D5,hmis_es_cov,0.0857590232378766,0.08109615676035231,0.2916270276678339
D5,log_total_beds,-0.03769648014582653,0.054159142239960496,0.48725950894534265
