coc_id,year,extractor,n_records,needs_review,reason
AK-500,2024,pdf_native,270,258,native PDF available
AK-501,2024,pdf_native,292,1,native PDF available
AL-500,2024,pdf_native,295,2,native PDF available
AL-502,2024,pdf_native,293,2,native PDF available
AL-504,2024,pdf_native,294,2,native PDF available
AL-506,2024,pdf_native,287,3,native PDF available
AR-500,2024,pdf_native,270,270,native PDF available
AR-501,2024,pdf_native,291,4,native PDF available
AZ-500,2024,pdf_native,295,1,native PDF available
AZ-502,2024,pdf_native,292,2,native PDF available
CA-500,2024,pdf_native,291,1,native PDF available
CA-501,2024,pdf_native,288,3,native PDF available
CA-502,2024,pdf_native,292,0,native PDF available
CA-503,2024,pdf_native,291,2,native PDF available
CA-504,2024,pdf_native,291,1,native PDF available
CA-505,2024,pdf_native,294,4,native PDF available
CA-506,2024,pdf_native,294,1,native PDF available
CA-507,2024,pdf_native,290,0,native PDF available
CA-508,2024,pdf_native,291,0,native PDF available
CA-509,2024,pdf_native,289,3,native PDF available
CA-510,2024,pdf_native,291,0,native PDF available
CA-511,2024,pdf_native,290,3,native PDF available
CA-512,2024,pdf_native,289,3,native PDF available
CA-513,2024,pdf_native,294,3,native PDF available
CA-515,2024,pdf_native,295,3,native PDF available
CA-516,2024,pdf_native,294,3,native PDF available
CA-517,2024,pdf_native,290,3,native PDF available
CA-519,2024,pdf_native,287,3,native PDF available
CA-520,2024,pdf_native,286,3,native PDF available
CA-521,2024,docx,156,156,scanned PDF → fall back to DOCX
CA-522,2024,pdf_native,294,3,native PDF available
CA-523,2024,pdf_native,294,2,native PDF available
CA-524,2024,pdf_native,290,28,native PDF available
CA-526,2024,pdf_native,290,4,native PDF available
CA-527,2024,pdf_native,287,1,native PDF available
CA-529,2024,pdf_native,287,2,native PDF available
CA-530,2024,pdf_native,290,3,native PDF available
CA-531,2024,pdf_native,291,3,native PDF available
CA-600,2024,pdf_native,292,0,native PDF available
CA-601,2024,pdf_native,288,2,native PDF available
CA-602,2024,pdf_native,291,1,native PDF available
CA-603,2024,pdf_native,291,1,native PDF available
CA-604,2024,pdf_native,291,3,native PDF available
CA-607,2024,pdf_native,291,0,native PDF available
CA-608,2024,pdf_native,291,2,native PDF available
CA-612,2024,pdf_native,289,4,native PDF available
CA-613,2024,pdf_native,294,2,native PDF available
CA-614,2024,pdf_native,282,1,native PDF available
CO-500,2024,pdf_native,295,0,native PDF available
CO-503,2024,pdf_native,292,1,native PDF available
CO-504,2024,pdf_native,293,1,native PDF available
CO-505,2024,pdf_native,295,4,native PDF available
