coc_id,year,cells_observed,cells_yes,crim_activity_index,engaged_policymakers_crim,engaged_law_enforce_crim,implemented_anticrim_practice
AK-501,2024,6,6,1.0,1,1,1
AL-500,2022,6,6,1.0,1,1,1
AL-500,2023,6,6,1.0,1,1,1
AL-500,2024,6,5,0.833,1,1,1
AL-502,2024,6,4,0.667,1,1,1
AL-504,2024,6,0,0.0,0,0,0
AL-506,2022,6,2,0.333,1,1,0
AL-506,2023,6,3,0.5,1,1,0
AL-506,2024,6,3,0.5,1,1,0
AR-500,2022,6,3,0.5,1,1,0
AR-500,2023,6,3,0.5,1,1,0
AR-501,2024,6,6,1.0,1,1,1
AR-503,2022,6,3,0.5,1,1,0
AR-503,2023,6,3,0.5,1,1,0
AZ-500,2022,6,3,0.5,1,1,0
AZ-500,2024,6,3,0.5,1,1,0
AZ-502,2022,6,3,0.5,1,1,0
AZ-502,2024,6,6,1.0,1,1,1
CA-500,2023,6,6,1.0,1,1,1
CA-500,2024,6,6,1.0,1,1,1
CA-501,2022,6,6,1.0,1,1,1
CA-501,2023,6,6,1.0,1,1,1
CA-501,2024,6,4,0.667,1,1,1
CA-502,2022,6,3,0.5,1,1,0
CA-502,2023,6,3,0.5,1,1,0
CA-502,2024,6,6,1.0,1,1,1
CA-503,2022,6,6,1.0,1,1,1
CA-503,2023,6,6,1.0,1,1,1
CA-503,2024,6,1,0.167,1,1,0
CA-504,2022,6,6,1.0,1,1,1
CA-504,2023,6,6,1.0,1,1,1
CA-504,2024,6,6,1.0,1,1,1
CA-505,2023,6,6,1.0,1,1,1
CA-505,2024,6,6,1.0,1,1,1
CA-506,2022,6,4,0.667,1,1,1
CA-506,2023,6,4,0.667,1,1,1
CA-506,2024,6,4,0.667,1,1,1
CA-507,2024,6,6,1.0,1,1,1
CA-508,2022,6,6,1.0,1,1,1
CA-508,2023,6,6,1.0,1,1,1
CA-508,2024,6,6,1.0,1,1,1
CA-509,2022,6,6,1.0,1,1,1
CA-509,2024,6,6,1.0,1,1,1
CA-510,2022,6,4,0.667,1,1,1
CA-510,2023,6,4,0.667,1,1,1
CA-510,2024,6,6,1.0,1,1,1
CA-511,2022,6,6,1.0,1,1,1
CA-511,2023,6,6,1.0,1,1,1
CA-511,2024,6,6,1.0,1,1,1
CA-512,2022,6,3,0.5,1,1,0
CA-512,2023,6,2,0.333,1,1,0
CA-512,2024,6,5,0.833,1,1,1
CA-513,2022,6,6,1.0,1,1,1
CA-513,2023,6,6,1.0,1,1,1
CA-513,2024,6,6,1.0,1,1,1
CA-515,2023,6,6,1.0,1,1,1
CA-515,2024,6,6,1.0,1,1,1
CA-516,2022,6,3,0.5,1,1,0
CA-516,2023,6,3,0.5,1,1,0
CA-516,2024,6,4,0.667,1,1,1
CA-517,2024,6,6,1.0,1,1,1
CA-519,2022,6,6,1.0,1,1,1
CA-519,2023,6,6,1.0,1,1,1
CA-519,2024,6,2,0.333,1,1,0
CA-520,2024,6,6,1.0,1,1,1
CA-521,2022,6,1,0.167,1,0,0
CA-521,2023,6,1,0.167,1,0,0
CA-522,2024,6,4,0.667,1,1,1
CA-523,2022,6,0,0.0,0,0,0
