ple_on_board,ple_on_committees,ple_compensated,ple_hiring_advertised,formal_policy,decisionmaking_authority,coc_id,year,paid_positions_exist,compensation_policy_formal,training_pipeline_described,career_advancement_described,scope_beyond_tokenism,feedback_mechanism_formal,acts_on_feedback,addresses_barriers,closes_the_loop,feedback_frequency,ple_representation,ple_compensation,ple_feedback_loop,ple_institution,ple_representation_availcase,ple_compensation_availcase,ple_feedback_loop_availcase
,1.0,,1.0,,1.0,AL-500,2022,1.0,,1.0,,1.0,1,1.0,,,quarterly,0.5,0.3333333333333333,0.5,0.4444444444444444,1.0,1.0,1.0
1.0,1.0,,,1.0,1.0,CA-511,2023,1.0,,,1.0,1.0,1,1.0,,,,1.0,0.3333333333333333,0.5,0.611111111111111,1.0,1.0,1.0
1.0,1.0,0.0,,1.0,1.0,DE-500,2022,1.0,,1.0,,1.0,1,1.0,,,,1.0,0.3333333333333333,0.5,0.611111111111111,1.0,0.5,1.0
1.0,1.0,,,1.0,,FL-603,2024,1.0,,1.0,1.0,1.0,1,1.0,,,monthly,0.75,0.3333333333333333,0.5,0.5277777777777778,1.0,1.0,1.0
1.0,1.0,,,,1.0,GA-500,2022,1.0,,,,1.0,1,,,,monthly,0.75,0.3333333333333333,0.25,0.4444444444444444,1.0,1.0,1.0
,,,,,1.0,GU-500,2024,,,1.0,,,1,1.0,,,quarterly,0.25,0.0,0.5,0.25,1.0,,1.0
1.0,1.0,,1.0,,1.0,LA-509,2023,1.0,,1.0,,1.0,1,1.0,1.0,,biweekly,0.75,0.3333333333333333,0.75,0.611111111111111,1.0,1.0,1.0
1.0,1.0,,1.0,,1.0,LA-509,2024,1.0,,1.0,1.0,1.0,1,1.0,1.0,,biweekly,0.75,0.3333333333333333,0.75,0.611111111111111,1.0,1.0,1.0
,1.0,1.0,1.0,,1.0,MA-509,2024,1.0,,1.0,1.0,1.0,1,1.0,,,quarterly,0.5,0.6666666666666666,0.5,0.5555555555555555,1.0,1.0,1.0
1.0,1.0,1.0,1.0,,1.0,MA-515,2023,1.0,,1.0,,1.0,1,,,,annual,0.75,0.6666666666666666,0.25,0.5555555555555555,1.0,1.0,1.0
,1.0,,1.0,,,MA-516,2024,1.0,1.0,1.0,1.0,,1,1.0,,,monthly,0.25,0.6666666666666666,0.5,0.47222222222222215,1.0,1.0,1.0
1.0,1.0,1.0,1.0,,1.0,MI-500,2022,1.0,1.0,1.0,1.0,1.0,1,1.0,,,,0.75,1.0,0.5,0.75,1.0,1.0,1.0
1.0,,1.0,,,1.0,MI-504,2023,1.0,1.0,1.0,,,1,,,,every 180 days,0.5,1.0,0.25,0.5833333333333334,1.0,1.0,1.0
1.0,,,1.0,,,NY-512,2024,1.0,,1.0,1.0,1.0,1,1.0,,,quarterly,0.25,0.3333333333333333,0.5,0.3611111111111111,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,,OH-507,2022,1.0,,1.0,,,1,1.0,,,weekly,0.75,0.6666666666666666,0.5,0.6388888888888888,1.0,1.0,1.0
1.0,1.0,,1.0,1.0,1.0,OK-502,2023,1.0,,1.0,,1.0,1,1.0,,,,1.0,0.3333333333333333,0.5,0.611111111111111,1.0,1.0,1.0
1.0,1.0,,,,1.0,VA-500,2022,,,,,1.0,1,1.0,,,,0.75,0.0,0.5,0.4166666666666667,1.0,,1.0
1.0,,,,,1.0,WV-503,2023,1.0,,1.0,,,1,1.0,,,,0.5,0.3333333333333333,0.5,0.4444444444444444,1.0,1.0,1.0
