model,variable,coef,se,pvalue
R1·frac-logit,const,-1.346887289490739,0.6467553359791698,0.037294099745606234
R1·frac-logit,nonprofit_led,0.05237032301669238,0.15158175821846073,0.729724334072989
R1·frac-logit,ple_dm_log,0.2529627304702936,0.07058754100259616,0.00033879498234203477
R1·frac-logit,ple_ces_bin,-0.05753767288878681,0.191281272818985,0.7635659478263419
R1·frac-logit,hf_pct,0.5319059875482586,0.3993319550205548,0.18286362534367206
R1·frac-logit,hmis_cov,0.547646820509704,0.27406646124201856,0.04569212762623538
R1·frac-logit,log_beds,0.1156442225246313,0.07600430884858336,0.12812231472024446
R1·frac-logit,yr_2023,0.06005465444895613,0.09908638199093583,0.5444590842659451
R1·frac-logit,yr_2024,0.5307573081445957,0.14547861995022787,0.00026392720676322303
R2·frac+Mundlak,const,-1.5211031249886267,0.7561625697160751,0.04426121258604618
R2·frac+Mundlak,nonprofit_led,0.04497886728638557,0.1517976873655971,0.7669948863823912
R2·frac+Mundlak,ple_dm_log,0.11358852455620386,0.08679635831110208,0.19064329098130295
R2·frac+Mundlak,ple_ces_bin,-0.312943604026767,0.3092940740145513,0.31163390655085044
R2·frac+Mundlak,hf_pct,-0.22805460860131033,0.4594289149024245,0.6196212911057911
R2·frac+Mundlak,hmis_cov,0.5473138909561478,0.41904427507733394,0.1915184204933661
R2·frac+Mundlak,log_beds,-0.018321856165774253,0.30785638461188,0.9525424786684126
R2·frac+Mundlak,ple_dm_log_bar,0.16890557611231993,0.11124838054848626,0.1289452206263506
R2·frac+Mundlak,ple_ces_bin_bar,0.2880039199546841,0.38864297059846054,0.458663051719279
R2·frac+Mundlak,hf_pct_bar,1.012343924597847,0.6380797789307009,0.11261514943414849
R2·frac+Mundlak,hmis_cov_bar,0.0014443093014278319,0.5816619278859936,0.9980187960511459
R2·frac+Mundlak,log_beds_bar,0.1093920399939654,0.31847647408857555,0.731233273232158
R2·frac+Mundlak,yr_2023,0.08885921444066017,0.10013717881733453,0.37487711711212557
R2·frac+Mundlak,yr_2024,0.5653180417947742,0.14521818274614298,9.905811435043076e-05
R3·FY24 frac,const,0.41772412571827333,1.1196286459574811,0.7090802152620794
R3·FY24 frac,nonprofit_led,0.03636274051514152,0.2127687923309563,0.8643003496253274
R3·FY24 frac,ple_dm_log,0.2140916020823024,0.10784004149714585,0.04711443690963201
R3·FY24 frac,ple_ces_bin,0.043534280092651374,0.4299938079388381,0.9193567931858134
R3·FY24 frac,hf_pct,-0.5910710394882854,0.9278957885857659,0.524123845260842
R3·FY24 frac,hmis_cov,0.7806353136678776,0.4593846519010177,0.08926145313736618
R3·FY24 frac,log_beds,0.06836853488333128,0.10964471017878955,0.5329256971392633
R4·OLS-TWFE,const,0.838759141284857,0.6142303317714154,0.17318568699441883
R4·OLS-TWFE,ple_dm_log,0.015210461775154787,0.02088847631886143,0.4671194911536518
R4·OLS-TWFE,ple_ces_bin,-0.0588420573162966,0.08400959111247812,0.48425037492994294
R4·OLS-TWFE,hf_pct,-0.09038944289456392,0.17603323913368268,0.6080238539086009
R4·OLS-TWFE,hmis_cov,0.11558766968285993,0.12119102547686864,0.3410315405444224
R4·OLS-TWFE,log_beds,-0.008761489164420997,0.0797992737473516,0.9126518871880787
R5·balanced panel,const,-1.6151684044945045,0.8530435970664443,0.058302256350984405
R5·balanced panel,nonprofit_led,0.20480030150345632,0.20500621177077308,0.3177968275516875
R5·balanced panel,ple_dm_log,0.07545729523403932,0.09637788798759925,0.4336672725355317
R5·balanced panel,ple_ces_bin,0.07881432810094474,0.28041768653744303,0.7786640162643356
R5·balanced panel,hf_pct,-0.06109916845873087,0.47113172505909473,0.8968148937232583
R5·balanced panel,hmis_cov,0.6001109556400079,0.4192853201295087,0.1523525371669895
R5·balanced panel,log_beds,-0.04518001642504857,0.44571653322266874,0.9192607904611745
R5·balanced panel,ple_dm_log_bar,0.36298278325279654,0.12848331087185816,0.004726060185398515
R5·balanced panel,ple_ces_bin_bar,-0.35201398578331555,0.42041162597297105,0.40241950630400325
R5·balanced panel,hf_pct_bar,1.153860234026261,0.6920410397413131,0.09544896321462361
R5·balanced panel,hmis_cov_bar,0.07256495311454239,0.6743308967225918,0.9143048226709622
R5·balanced panel,log_beds_bar,0.05540601480824772,0.4609143693875624,0.9043176583208314
R5·balanced panel,yr_2023,0.13993363579816437,0.08982378979925508,0.11926446828788105
R5·balanced panel,yr_2024,0.6819415962751534,0.18663769834188668,0.0002583618112464141
R6·×HF,const,-1.2940274268290402,0.8677708873916601,0.1359067314292443
R6·×HF,nonprofit_led,-0.06963520599975032,0.7483822647805224,0.9258657115171309
R6·×HF,ple_dm_log,0.2532196572419452,0.07068202581510533,0.0003402976534800188
R6·×HF,ple_ces_bin,-0.05671764428444051,0.1919621990914689,0.7676405430682379
R6·×HF,hf_pct,0.47455388137168475,0.7134189553638522,0.5059337030624877
R6·×HF,hmis_cov,0.5471678351490007,0.27432476239222614,0.046086657258108926
R6·×HF,log_beds,0.11599367159755501,0.07596345838857607,0.12676929134232523
R6·×HF,np_x_hf,0.12610597819593045,0.7566214957813309,0.8676298434124334
R6·×HF,yr_2023,0.058711187948145345,0.09997346939927164,0.5570239405443137
R6·×HF,yr_2024,0.5290585597513009,0.1467860991362502,0.00031301651976389734
R7·×HMIS,const,-1.5281173294841701,0.744452038386946,0.040104207117166654
R7·×HMIS,nonprofit_led,0.2864846669697962,0.5108176710348858,0.5749097062047435
R7·×HMIS,ple_dm_log,0.25285290024792284,0.07056324882089104,0.00033921407438579284
R7·×HMIS,ple_ces_bin,-0.05975569133024726,0.19134740000323666,0.754820886627416
R7·×HMIS,hf_pct,0.5338096435172224,0.40236938770019876,0.18461931001950815
R7·×HMIS,hmis_cov,0.725989998140859,0.49145097280143046,0.1396118803909849
R7·×HMIS,log_beds,0.1190644108885263,0.0763149449367565,0.11871933149608217
R7·×HMIS,np_x_hmis,-0.27530145774297476,0.5841097388077214,0.6374136343006869
R7·×HMIS,yr_2023,0.06157569717200923,0.09895057640523079,0.5337529031458346
R7·×HMIS,yr_2024,0.5377950713343992,0.14611048745152555,0.00023255582761019526
D1·DiD OLS-FE,const,0.7700410922446085,0.4048894151958639,0.058212620671946436
D1·DiD OLS-FE,post,0.09372045270327041,0.03451150143582807,0.007024788691525785
D1·DiD OLS-FE,did,0.007414788211363973,0.04526045725196801,0.869986786968151
D1·DiD OLS-FE,hf_pct,-0.13956901624130802,0.08752405427032911,0.11191772393326738
D1·DiD OLS-FE,hmis_cov,0.12086881911949836,0.08165590124255473,0.1399344361177608
D1·DiD OLS-FE,log_beds,0.004737167395610072,0.05260850205557557,0.9283150778383864
D1·DiD OLS-FE,ple_ces_bin,-0.05779586597218523,0.05713356395909086,0.3126033388620997
D2·DiD frac+Mundlak,const,-1.9013281318343096,0.7831355162559331,0.015189021059938777
D2·DiD frac+Mundlak,nonprofit_led,0.11536154922136788,0.18663507035317808,0.5365009029970366
D2·DiD frac+Mundlak,post,0.6150194108731609,0.19090779388356502,0.001274982638532206
D2·DiD frac+Mundlak,did,-0.06333074435263573,0.2529054011744396,0.8022681480937577
D2·DiD frac+Mundlak,hf_pct,-0.6368755181649031,0.41206519578584,0.12220850185200235
D2·DiD frac+Mundlak,hmis_cov,0.6110519917691795,0.41069102969463245,0.13678702436670337
D2·DiD frac+Mundlak,log_beds,0.03147041749828822,0.2964697904315454,0.915462941540348
D2·DiD frac+Mundlak,ple_ces_bin,-0.3412009335810773,0.3139419204292827,0.2771127406527496
D2·DiD frac+Mundlak,hf_pct_bar,1.4050007490564926,0.5774208575606649,0.014964577209521697
D2·DiD frac+Mundlak,hmis_cov_bar,0.010332087159298398,0.5721376294359011,0.9855919898521222
D2·DiD frac+Mundlak,log_beds_bar,0.16808509335348765,0.30554543152995955,0.5822405701685569
D2·DiD frac+Mundlak,ple_ces_bin_bar,0.43242945974527225,0.39402754364279474,0.2724403664497185
D2·DiD frac+Mundlak,did_boot_pvalue,,,0.819
