coc_id,year,cells_observed,cells_yes,crim_activity_index,engaged_policymakers_crim,engaged_law_enforce_crim,implemented_anticrim_practice,1a_1a,1a_1b,1a_2,1a_3,1a_4,1b_1_1_meetings,1b_1_1_voted,1b_1_1_ces,1b_1_2_meetings,1b_1_2_voted,1b_1_2_ces,1b_1_3_meetings,1b_1_3_voted,1b_1_3_ces,1b_1_4_meetings,1b_1_4_voted,1b_1_4_ces,1b_1_5_meetings,1b_1_5_voted,1b_1_5_ces,1b_1_6_meetings,1b_1_6_voted,1b_1_6_ces,1b_1_7_meetings,1b_1_7_voted,1b_1_7_ces,1b_1_8_meetings,1b_1_8_voted,1b_1_8_ces,1b_1_9_meetings,1b_1_9_voted,1b_1_9_ces,1b_1_10_meetings,1b_1_10_voted,1b_1_10_ces,1b_1_11_meetings,1b_1_11_voted,1b_1_11_ces,1b_1_12_meetings,1b_1_12_voted,1b_1_12_ces,1b_1_13_meetings,1b_1_13_voted,1b_1_13_ces,1b_1_14_meetings,1b_1_14_voted,1b_1_14_ces,1b_1_15_meetings,1b_1_15_voted,1b_1_15_ces,1b_1_16_meetings,1b_1_16_voted,1b_1_16_ces,1b_1_17_meetings,1b_1_17_voted,1b_1_17_ces,1b_1_18_meetings,1b_1_18_voted,1b_1_18_ces,1b_1_19_meetings,1b_1_19_voted,1b_1_19_ces,1b_1_20_meetings,1b_1_20_voted,1b_1_20_ces,1b_1_21_meetings,1b_1_21_voted,1b_1_21_ces,1b_1_22_meetings,1b_1_22_voted,1b_1_22_ces,1b_1_23_meetings,1b_1_23_voted,1b_1_23_ces,1b_1_24_meetings,1b_1_24_voted,1b_1_24_ces,1b_1_25_meetings,1b_1_25_voted,1b_1_25_ces,1b_1_26_meetings,1b_1_26_voted,1b_1_26_ces,1b_1_27_meetings,1b_1_27_voted,1b_1_27_ces,1b_1_28_meetings,1b_1_28_voted,1b_1_28_ces,1b_1_29_meetings,1b_1_29_voted,1b_1_29_ces,1b_1_30_meetings,1b_1_30_voted,1b_1_30_ces,1b_1_31_meetings,1b_1_31_voted,1b_1_31_ces,1b_1_32_meetings,1b_1_32_voted,1b_1_32_ces,1b_1_33_meetings,1b_1_33_voted,1b_1_33_ces,1c_1_1,1c_1_2,1c_1_3,1c_1_4,1c_1_5,1c_1_6,1c_1_7,1c_1_8,1c_1_9,1c_1_10,1c_1_11,1c_1_12,1c_1_13,1c_1_14,1c_1_15,1c_1_16,1c_1_17,1c_3_1,1c_3_2,1c_3_3,1c_3_4,1c_3_5,1c_4_1,1c_4_2,1c_4_3,1c_4_4,1c_4c_1_mou,1c_4c_1_oth,1c_4c_2_mou,1c_4c_2_oth,1c_4c_3_mou,1c_4c_3_oth,1c_4c_4_mou,1c_4c_4_oth,1c_4c_5_mou,1c_4c_5_oth,1c_4c_6_mou,1c_4c_6_oth,1c_4c_7_mou,1c_4c_7_oth,1c_4c_8_mou,1c_4c_8_oth,1c_4c_9_mou,1c_4c_9_oth,1c_7_pha_name_1,1c_7_ph_hhm_1,1c_7_ph_limit_hhm_1,1c_7_psh_1,1c_7_pha_name_2,1c_7_ph_hhm_2,1c_7_ph_limit_hhm_2,1c_7_psh_2,1c_7b_1,1c_7b_2,1c_7b_3,1c_7b_4,1c_7c_1,1c_7c_2,1c_7c_3,1c_7c_4,1c_7c_5,1c_7c_6,1c_7c_7,1c_7d_1,1c_7e,1d_1_1,1d_1_2,1d_1_3,1d_1_4,1d_2_1,1d_2_2,1d_2_3,1d_4_1_policymakers,1d_4_1_prevent_crim,1d_4_2_policymakers,1d_4_2_prevent_crim,1d_4_3_policymakers,1d_4_3_prevent_crim,1d_5_hmis,1d_5_2023,1d_5_2024,1d_6_1,1d_6_2,1d_6_3,1d_6_4,1d_6_5,1d_9_2,1d_10a_1_years,1d_10a_1_unsheltered,1d_10a_2_years,1d_10a_2_unsheltered,1d_10a_3_years,1d_10a_3_unsheltered,1e_1_1,1e_2_1,1e_2_2,1e_2_3,1e_2_4,1e_2_5,1e_2a_1,1e_2a_2,1e_2a_3,1e_4a,1e_5_1,1e_5_2,1e_5a,1e_5b,1e_5c,1e_5d,2a_1,2a_2,2a_3,2a_5_1_non_vsp,2a_5_1_vsp,2a_5_1_hmis,2a_5_1_coverage,2a_5_3_non_vsp,2a_5_3_vsp,2a_5_3_hmis,2a_5_3_coverage,2a_5_4_non_vsp,2a_5_4_vsp,2a_5_4_hmis,2a_5_4_coverage,2a_5_5_non_vsp,2a_5_5_vsp,2a_5_5_hmis,2a_5_5_coverage,2a_5_6_non_vsp,2a_5_6_vsp,2a_5_6_hmis,2a_5_6_coverage,2a_6,2b_1,2b_2,3a_1,3a_2,3c_1,4a_1
AK-500,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,Yes,,,Page 58 of 69,Single CoC,,,,,,,,,,,,,,,,,,,,,,No,,5/8/2024,,,No,No
AK-501,2024,6,6,1.0,1,1,1,AK-501,Alaska Balance of State CoC,Alaska Coalition on Housing & Homelessness,CA,Institute for Community Alliances,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,No,No,Yes,No,Yes,No,Yes,No,Yes,No,AK 901 Alaska Housing Finance Corporation,37%,Yes,Yes,AK001 Alaska Housing Finance Corporation,37%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,,Yes,Yes,Yes,Yes,18.0,18.0,1.0,Yes,Yes,Yes,Yes,Yes,Yes,,,,Yes,Yes,Yes,Yes,Yes,05/08/2024,30,10,20,7,4,3,08/13/2024,Yes,Yes,Yes,Yes,Yes,159,14,PH-PSH,Yes,Yes,Yes,09/26/2024,Yes,10/24/2024,10/24/2024,Wellsky,Statewide,05/08/2024,398,423,516,0.6285,204,93,228,0.7677,110,5,115,1.0,409,0,231,0.5648,35,51,0,0.0,No,01/29/2024,05/08/2024,Yes,Yes,No,Yes
AL-500,2022,6,6,1.0,1,1,1,AL-500,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC",One Roof,CA,One Roof,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Nonexistent,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Nonexistent,No,No,No,No,No,Nonexistent,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Nonexistent,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Nonexistent,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,Housing Authority Birmingham District,24%,Yes,No,Jefferson County Housing Authority,0%,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,No,15.0,14.0,0.93,Yes,Yes,Yes,Yes,Yes,Yes,HMIS,178,150,Yes,Yes,Yes,Yes,Yes,09/30/2022,6,1,19,9,4,1,08/05/2022,Yes,Yes,Yes,Yes,No,260,15,PH-PSH,No,Yes,Yes,09/14/2022,Yes,09/28/2022,09/28/2022,WellSky,Multiple CoCs,04/29/2022,431,18,413,1.0,205,12,105,0.544,206,0,206,1.0,1326,0,1326,1.0,64,0,64,1.0,Yes,02/22/2022,05/06/2022,No,No,No,No
AL-500,2023,6,6,1.0,1,1,1,AL-500,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC",One Roof,CA,One Roof,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Nonexistent,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Nonexistent,No,No,Yes,Yes,Yes,Nonexistent,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Nonexistent,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Nonexistent,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,Yes,No,No,Housing Authority Birmingham District,12%,Yes,No,Jefferson County Housing Authority,0%,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,No,15.0,14.0,0.93,Yes,Yes,Yes,Yes,Yes,Yes,HIC,206,179,Yes,Yes,Yes,Yes,Yes,09/28/2023,2,2,4,2,4,1,09/21/2023,Yes,Yes,Yes,Yes,No,270,16,PH-PSH,No,No,Yes,09/11/2023,Yes,09/26/2023,09/26/2023,WellSky,Multiple CoCs,04/28/2023,424,36,388,1.0,110,33,77,1.0,179,0,179,1.0,1399,0,1399,1.0,99,0,99,1.0,Yes,01/24/2023,04/28/2023,Yes,Yes,No,No
AL-500,2024,6,5,0.833,1,1,1,AL-500,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC",One Roof,CA,One Roof,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Nonexistent,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Nonexistent,No,No,Yes,Yes,Yes,Nonexistent,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Nonexistent,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Nonexistent,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,Yes,No,No,Housing Authority Birmingham District,12%,Yes,No,Jefferson County Housing Authority,2%,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,,Yes,Yes,Yes,Yes,20.0,20.0,1.0,Yes,No,Yes,Yes,Yes,Yes,HIC,179,164,Yes,Yes,Yes,Yes,Yes,08/01/2024,1,0,3,3,3,3,08/13/2024,Yes,Yes,Yes,Yes,No,100,16,PH-PSH,Yes,No,Yes,10/15/2024,Yes,10/28/2024,10/28/2024,WellSky,Multiple CoCs,05/09/2024,430,43,473,1.0,38,42,50,0.625,164,0,164,1.0,1376,0,1376,1.0,0,0,0,1.0,Yes,01/23/2024,05/09/2024,No,Yes,No,Yes
AL-502,2024,6,4,0.667,1,1,1,AL-502,Florence/Northwest Alabama CoC,AL-502,CA,AL-502,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Nonexistent,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Nonexistent,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Nonexistent,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,Florence Housing Authority,5%,Yes,No,Sheffield Housing Authority,40%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,1.0,1.0,1.0,Yes,Yes,Yes,Yes,No,No,HIC,30,35,Yes,Yes,Yes,Yes,Yes,10/01/2024,2,4,2,4,2,3,09/04/2024,Yes,Yes,Yes,Yes,Yes,100,2,Tie,No,No,No,09/24/2024,Yes,10/23/2024,10/23/2024,Well Sky,Single CoC,05/01/2024,85,40,117,0.936,26,60,86,1.0,35,0,35,1.0,0,0,0,0.0,0,0,0,0.0,Yes,01/25/2024,05/08/2024,No,No,No,No
AL-504,2024,6,0,0.0,0,0,0,AL-504,Montgomery City & County CoC,"Montgomery Area Coalition for the Homeless, Inc.",CA,HandsOn River Region,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,Nonexistent,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Nonexistent,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Nonexistent,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Montgomery Housing Authority,66%,No,No,Housing Authority of the City of Prattville,44%,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,4.0,4.0,1.0,No,No,No,No,No,No,HIC,14,24,Yes,Yes,Yes,Yes,Yes,,2,0,2,0,2,0,08/26/2024,Yes,Yes,Yes,Yes,Yes,125,5,TH,No,No,No,10/18/2024,Yes,10/28/2024,10/30/2024,WellSky,Single CoC,04/25/2024,160,9,9,1.69,10,49,49,0.59,24,0,0,0.24,154,24,24,1.78,0,0,0,0.0,Yes,01/23/2024,04/25/2024,No,No,No,Yes
AL-506,2022,6,2,0.333,1,1,0,AL-506,Tuscaloosa City & County CoC,Community Homeless Assessment Local Education and Networking Group,CA,City of Tuscaloosa,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Tuscaloosa Housing Authority,3%,No,No,,,,,No,No,No,No,Yes,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,3.0,0.0,0.0,Yes,No,Yes,No,No,No,HMIS,0,0,Yes,No,No,No,Yes,09/29/2022,0,0,0,0,0,0,08/08/2022,Yes,Yes,Yes,Yes,Yes,100,3,PH-PSH,No,,,09/19/2022,Yes,09/23/2022,09/29/2022,Service Point,Multiple CoCs,05/06/2022,87,0,87,1.0,8,0,8,1.0,,,,,282,0,282,1.0,,,,,Yes,01/28/2022,05/05/2022,No,No,No,No
AL-506,2023,6,3,0.5,1,1,0,AL-506,Tuscaloosa City & County CoC,Community Homeless Assessment Local Education and Networking Group,CA,City of Tuscaloosa,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Tuscaloosa Housing Authority,4%,No,No,,,,,No,No,No,No,Yes,No,Yes,Yes,No,No,Yes,No,No,No,Yes,Yes,Yes,3.0,3.0,1.0,Yes,No,Yes,No,Yes,No,HMIS,8,8,Yes,Yes,Yes,Yes,Yes,,0,0,1,0,0,0,08/25/2023,Yes,Yes,Yes,Yes,Yes,100,4,PH-PSH,No,No,No,09/07/2023,Yes,09/26/2023,09/27/2023,WellSky,Statewide,03/24/2023,74,0,90,1.2162,8,0,8,1.0,,,,,282,0,282,1.0,,,,,Yes,01/26/2023,03/24/2023,No,No,No,No
AL-506,2024,6,3,0.5,1,1,0,AL-506,Tuscaloosa City & County CoC,Community Homeless Assessment Local Education and Networking Group,CA,City of Tuscaloosa,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,Tuscaloosa Housing Authority,6%,No,No,,,,,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Yes,2.0,2.0,1.0,Yes,No,Yes,No,Yes,No,,,,Yes,Yes,Yes,Yes,Yes,10/28/2024,2,0,8,1,2,0,08/09/2024,Yes,Yes,Yes,Yes,No,75,3,PH-PSH,No,No,No,09/13/2023,Yes,10/29/2024,10/03/2024,Wellsky,Multiple CoCs,05/10/2024,65,0,65,1.0,8,0,0,1.0,29,0,29,1.0,285,0,285,1.0,0,0,0,0.0,Yes,01/25/2024,05/10/2024,No,No,No,No
