canonical_prefix,example_field_id,title_2024,qid_2024,qid_2023,title_2023,qid_2022,title_2022,match_confidence,needs_review,notes
1a_1a,1a_1a,"CoC Name and Number: AL-500 - Birmingham/Jefferson, St. Clair, Shelby",1A-1,1A-1,"CoC Name and Number: AL-500 - Birmingham/Jefferson, St. Clair, Shelby",1A-1,"CoC Name and Number: AL-500 - Birmingham/Jefferson, St. Clair, Shelby",1.0,FALSE,
1a_1b,1a_1b,CoC Number,,,,,,1.0,TRUE,no_2023_match;no_2022_match;low_similarity_fuzzy
1a_2,1a_2,Collaborative Applicant Name: One Roof,1A-2,1A-2,Collaborative Applicant Name: One Roof,1A-2,Collaborative Applicant Name: One Roof,1.0,FALSE,
1a_3,1a_3,CoC Designation: CA,1A-3,1A-3,CoC Designation: CA,1A-3,CoC Designation: CA,1.0,FALSE,
1a_4,1a_4,HMIS Lead: One Roof,1A-4,1A-4,HMIS Lead: One Roof,1A-4,HMIS Lead: One Roof,1.0,FALSE,
1b_1,1b_1_1_meetings,Inclusive Structure and Participation–Participation in Coordinated Entry.,1B-1,1B-1,Inclusive Structure and Participation–Participation in Coordinated Entry.,1B-1,Inclusive Structure and Participation–Participation in Coordinated Entry.,1.0,FALSE,
1b_1a,1b_1a,Inclusive Structure and Participation–Participation in Coordinated Entry.,1B-1,1B-1,Inclusive Structure and Participation–Participation in Coordinated Entry.,1B-1,Inclusive Structure and Participation–Participation in Coordinated Entry.,1.0,FALSE,
1b_2,1b_2,Open Invitation for New Members.,1B-2,1B-2,Open Invitation for New Members.,1B-2,Open Invitation for New Members.,1.0,FALSE,
1b_3,1b_3,CoC’s Strategy to Solicit/Consider Opinions on Preventing and Ending Homelessness.,1B-3,1B-3,CoC’s Strategy to Solicit/Consider Opinions on Preventing and Ending Homelessness.,1B-3,CoC’s Strategy to Solicit/Consider Opinions on Preventing and Ending Homelessness.,1.0,FALSE,
1b_4,1b_4,Public Notification for Proposals from Organizations Not Previously Awarded CoC Program,1B-4,1B-4,Public Notification for Proposals from Organizations Not Previously Awarded CoC Program,1B-4,Public Notification for Proposals from Organizations Not Previously Awarded CoC Program,1.0,FALSE,
1c_1,1c_1_1,"Coordination with Federal, State, Local, Private, and Other Organizations.",1C-1,1C-1,"Coordination with Federal, State, Local, Private, and Other Organizations.",1C-1,"Coordination with Federal, State, Local, Private, and Other Organizations.",1.0,FALSE,
1c_2,1c_2_1,CoC Consultation with ESG Program Recipients.,1C-2,1C-2,CoC Consultation with ESG Program Recipients.,1C-2,CoC Consultation with ESG Program Recipients.,1.0,FALSE,
1c_3,1c_3_1,Ensuring Families are not Separated.,1C-3,1C-3,Ensuring Families are not Separated.,1C-3,Ensuring Families are not Separated.,1.0,FALSE,
1c_4,1c_4_1,"CoC Collaboration Related to Children and Youth–SEAs, LEAs, School Districts.",1C-4,1C-4,"CoC Collaboration Related to Children and Youth–SEAs, LEAs, School Districts.",1C-4,"CoC Collaboration Related to Children and Youth–SEAs, LEAs, School Districts.",1.0,FALSE,
1c_4a,1c_4a,"CoC Collaboration Related to Children and Youth–SEAs, LEAs, School Districts.",1C-4,1C-4,"CoC Collaboration Related to Children and Youth–SEAs, LEAs, School Districts.",1C-4,"CoC Collaboration Related to Children and Youth–SEAs, LEAs, School Districts.",1.0,FALSE,
1c_4b,1c_4b,Informing Individuals and Families Who Have Recently Begun Experiencing Homelessness about,1C-4b,1C-4b,Informing Individuals and Families Experiencing Homelessness about Eligibility for Educational,1C-4b,Informing Individuals and Families Experiencing Homelessness about Eligibility for Educational,1.0,FALSE,
1c_4c,1c_4c_1_mou,Written/Formal Agreements or Partnerships with Early Childhood Services Providers.,1C-4c,1C-4c,Written/Formal Agreements or Partnerships with Early Childhood Services Providers.,1C-4c,Written/Formal Agreements or Partnerships with Early Childhood Services Providers.,1.0,FALSE,
1c_5,1c_5_1,"Addressing Needs of Survivors of Domestic Violence, Dating Violence, Sexual Assault, and Stalking–Collaboration",1C-5,1C-5,"Addressing Needs of Domestic Violence, Dating Violence, Sexual Assault, and Stalking Survivors–Collaboration",1C-5,"Addressing Needs of Domestic Violence, Dating Violence, Sexual Assault, and Stalking",1.0,FALSE,
1c_5a,1c_5a,"Addressing Needs of Survivors of Domestic Violence, Dating Violence, Sexual Assault, and Stalking–Collaboration",1C-5,1C-5,"Addressing Needs of Domestic Violence, Dating Violence, Sexual Assault, and Stalking Survivors–Collaboration",1C-5,"Addressing Needs of Domestic Violence, Dating Violence, Sexual Assault, and Stalking",1.0,FALSE,
