original_filename,coc_id,year,format,num_pages,text_chars,is_scanned,name_issue,notes
ak_500_2024.pdf,AK-500,2024,pdf,88,344,FALSE,FALSE,
ak_501_2024.pdf,AK-501,2024,pdf,300,1276,FALSE,FALSE,
al_500_2022.pdf,AL-500,2022,pdf,103,3154,FALSE,FALSE,
al_500_2023.pdf,AL-500,2023,pdf,129,3154,FALSE,FALSE,
al_500_2024.pdf,AL-500,2024,pdf,138,3150,FALSE,FALSE,
AL_502_2024.pdf,AL-502,2024,pdf,144,3142,FALSE,FALSE,
AL_504_2024.pdf,AL-504,2024,pdf,68,3147,FALSE,FALSE,
AL_506_2022.pdf,AL-506,2022,pdf,87,3146,FALSE,FALSE,
AL_506_2023.pdf,AL-506,2023,pdf,659,3151,FALSE,FALSE,
AL_506_2024.pdf,AL-506,2024,pdf,100,3142,FALSE,FALSE,
AR_500_2022.pdf,AR-500,2022,pdf,73,3154,FALSE,FALSE,
AR_500_2023.pdf,AR-500,2023,pdf,60,3151,FALSE,FALSE,
AR_500_2024.pdf,AR-500,2024,pdf,45,2820,FALSE,FALSE,
AR_501_2024.pdf,AR-501,2024,pdf,153,3142,FALSE,FALSE,
AR_503_2022.pdf,AR-503,2022,pdf,128,3151,FALSE,FALSE,
AR_503_2023.pdf,AR-503,2023,pdf,66,3151,FALSE,FALSE,
AZ_500_2022.pdf,AZ-500,2022,pdf,88,3151,FALSE,FALSE,
AZ_500_2023.pdf,AZ-500,2023,pdf,46,3151,FALSE,FALSE,
AZ_500_2024.pdf,AZ-500,2024,pdf,94,3147,FALSE,FALSE,
AZ_502_2022.pdf,AZ-502,2022,pdf,112,3146,FALSE,FALSE,
AZ_502_2024.pdf,AZ-502,2024,pdf,66,3142,FALSE,FALSE,
CA_500_2023.pdf,CA-500,2023,pdf,177,3156,FALSE,FALSE,
CA_500_2024.pdf,CA-500,2024,pdf,167,3147,FALSE,FALSE,
CA_501_2022.pdf,CA-501,2022,pdf,207,3184,FALSE,FALSE,
CA_501_2023.pdf,CA-501,2023,pdf,243,3184,FALSE,FALSE,
CA_501_2024.pdf,CA-501,2024,pdf,200,3180,FALSE,FALSE,
CA_502_2022.pdf,CA-502,2022,pdf,87,3146,FALSE,FALSE,
CA_502_2023.pdf,CA-502,2023,pdf,102,3151,FALSE,FALSE,
CA_502_2024.pdf,CA-502,2024,pdf,182,3142,FALSE,FALSE,
CA_503_2022.pdf,CA-503,2022,pdf,194,3145,FALSE,FALSE,
CA_503_2023.pdf,CA-503,2023,pdf,758,3150,FALSE,FALSE,
CA_503_2024.pdf,CA-503,2024,pdf,206,3180,FALSE,FALSE,
CA_504_2022.pdf,CA-504,2022,pdf,153,3129,FALSE,FALSE,
CA_504_2023.pdf,CA-504,2023,pdf,188,3113,FALSE,FALSE,
CA_504_2024.pdf,CA-504,2024,pdf,185,3109,FALSE,FALSE,
CA_505_2023.pdf,CA-505,2023,pdf,263,3146,FALSE,FALSE,
CA_505_2024.docx,CA-505,2024,docx,,320168,FALSE,FALSE,duplicate(docx+pdf)
CA_505_2024.pdf,CA-505,2024,pdf,240,3142,FALSE,FALSE,duplicate(docx+pdf)
CA_506_2022.pdf,CA-506,2022,pdf,105,3151,FALSE,FALSE,
CA_506_2023.pdf,CA-506,2023,pdf,193,3151,FALSE,FALSE,
CA_506_2024.pdf,CA-506,2024,pdf,196,3147,FALSE,FALSE,
CA_507_2024.pdf,CA-507,2024,pdf,204,3142,FALSE,FALSE,
CA_508_2022.pdf,CA-508,2022,pdf,277,3151,FALSE,FALSE,
CA_508_2023.pdf,CA-508,2023,pdf,282,3151,FALSE,FALSE,
CA_508_2024.pdf,CA-508,2024,pdf,261,3147,FALSE,FALSE,
CA_509_2022.pdf,CA-509,2022,pdf,239,3151,FALSE,FALSE,
CA_509_2024.docx,CA-509,2024,docx,,286296,FALSE,FALSE,duplicate(docx+pdf)
CA_509_2024.pdf,CA-509,2024,pdf,323,3155,FALSE,FALSE,duplicate(docx+pdf)
CA_510_2022.pdf,CA-510,2022,pdf,53,1380,FALSE,FALSE,
CA_510_2023.pdf,CA-510,2023,pdf,125,3151,FALSE,FALSE,
CA_510_2024.pdf,CA-510,2024,pdf,60,3147,FALSE,FALSE,
CA_511_2022.pdf,CA-511,2022,pdf,80,3145,FALSE,FALSE,
CA_511_2023.pdf,CA-511,2023,pdf,127,3150,FALSE,FALSE,
CA_511_2024.docx,CA-511,2024,docx,,299839,FALSE,FALSE,duplicate(docx+pdf)
CA_511_2024.pdf,CA-511,2024,pdf,88,3141,FALSE,FALSE,duplicate(docx+pdf)
CA_512_2022.pdf,CA-512,2022,pdf,135,3146,FALSE,FALSE,
CA_512_2023.pdf,CA-512,2023,pdf,523,3146,FALSE,FALSE,
CA_512_2024.pdf,CA-512,2024,pdf,534,3142,FALSE,FALSE,
CA_513_2022.pdf,CA-513,2022,pdf,163,3184,FALSE,FALSE,
CA_513_2023.pdf,CA-513,2023,pdf,109,3151,FALSE,FALSE,
CA_513_2024.docx,CA-513,2024,docx,,292517,FALSE,FALSE,duplicate(docx+pdf)
CA_513_2024.pdf,CA-513,2024,pdf,134,3180,FALSE,FALSE,duplicate(docx+pdf)
CA_515_2023.pdf,CA-515,2023,pdf,103,3151,FALSE,FALSE,
CA_515_2024.pdf,CA-515,2024,pdf,46,3147,FALSE,FALSE,
CA_516_2022.pdf,CA-516,2022,pdf,251,3146,FALSE,FALSE,
CA_516_2023.pdf,CA-516,2023,pdf,59,3151,FALSE,FALSE,
CA_516_2024.pdf,CA-516,2024,pdf,109,3142,FALSE,FALSE,
CA_517_2024.pdf,CA-517,2024,pdf,177,3142,FALSE,FALSE,
CA_519_2022.pdf,CA-519,2022,pdf,93,1272,FALSE,FALSE,
CA_519_2023.pdf,CA-519,2023,pdf,140,1272,FALSE,FALSE,
CA_519_2024.pdf,CA-519,2024,pdf,117,1238,FALSE,FALSE,
CA_520_2022.pdf,CA-520,2022,pdf,765,3146,FALSE,FALSE,
CA_520_2023.pdf,CA-520,2023,pdf,924,3146,FALSE,FALSE,
CA_520_2024.pdf,CA-520,2024,pdf,1004,3142,FALSE,FALSE,
CA_521_2022.pdf,CA-521,2022,pdf,87,3146,FALSE,FALSE,
CA_521_2023.pdf,CA-521,2023,pdf,96,3146,FALSE,FALSE,
CA_521_2024.docx,CA-521,2024,docx,,0,FALSE,FALSE,duplicate(docx+pdf)
CA_521_2024.pdf,CA-521,2024,pdf,95,0,TRUE,FALSE,duplicate(docx+pdf)
CA_522_2024.pdf,CA-522,2024,pdf,72,3142,FALSE,FALSE,
CA_523_2022.pdf,CA-523,2022,pdf,70,3145,FALSE,FALSE,
CA_523_2023.pdf,CA-523,2023,pdf,82,3150,FALSE,FALSE,
CA_523_2024.pdf,CA-523,2024,pdf,154,3141,FALSE,FALSE,
CA_524_2024.pdf,CA-524,2024,pdf,65,3150,FALSE,FALSE,
CA_526_2022.pdf,CA-526,2022,pdf,80,3154,FALSE,FALSE,
CA_526_2023.pdf,CA-526,2023,pdf,124,3151,FALSE,FALSE,
CA_526_2024.pdf,CA-526,2024,pdf,91,3150,FALSE,FALSE,
CA_527_2024.pdf,CA-527,2024,pdf,74,3142,FALSE,FALSE,
CA_529_2024.pdf,CA-529,2024,pdf,354,3142,FALSE,FALSE,
