coc_id,state,matched_counties,n_matched,biden_share,source
AK-501,AK,,0,0.392,state_fallback
AL-500,AL,jefferson;st. clair;shelby,3,0.4589,county_matched
AL-502,AL,,0,0.3657,state_fallback
AL-504,AL,montgomery,1,0.6509,county_matched
AL-506,AL,tuscaloosa,1,0.4188,county_matched
AR-500,AR,,0,0.3478,state_fallback
AR-501,AR,,0,0.3478,state_fallback
AR-503,AR,,0,0.3478,state_fallback
AZ-500,AZ,,0,0.4936,state_fallback
AZ-502,AZ,maricopa,1,0.5029,county_matched
CA-500,CA,santa clara,1,0.7266,county_matched
CA-501,CA,,0,0.635,state_fallback
CA-502,CA,alameda,1,0.8023,county_matched
CA-503,CA,sacramento,1,0.6137,county_matched
CA-504,CA,sonoma,1,0.7453,county_matched
CA-505,CA,contra costa,1,0.7164,county_matched
CA-506,CA,monterey;san benito,2,0.6828,county_matched
CA-507,CA,marin,1,0.8234,county_matched
CA-508,CA,santa cruz,1,0.789,county_matched
CA-509,CA,mendocino,1,0.6642,county_matched
CA-510,CA,stanislaus,1,0.4926,county_matched
CA-511,CA,san joaquin,1,0.5586,county_matched
CA-512,CA,san mateo,1,0.7789,county_matched
CA-513,CA,kings;tulare,2,0.4447,county_matched
CA-515,CA,placer,1,0.4547,county_matched
CA-516,CA,shasta;siskiyou;lassen;plumas;del norte;modoc;sierra,7,0.3402,county_matched
CA-517,CA,napa,1,0.6907,county_matched
CA-519,CA,butte,1,0.4942,county_matched
CA-520,CA,merced,1,0.5411,county_matched
CA-521,CA,yolo,1,0.695,county_matched
CA-522,CA,humboldt,1,0.6504,county_matched
CA-523,CA,colusa;glenn;trinity,3,0.3953,county_matched
CA-524,CA,sutter;yuba,2,0.3948,county_matched
CA-526,CA,amador;calaveras;mariposa;tuolumne,4,0.3801,county_matched
CA-527,CA,tehama,1,0.3103,county_matched
CA-529,CA,lake,1,0.5188,county_matched
CA-530,CA,alpine;inyo;mono,3,0.5379,county_matched
CA-531,CA,nevada,1,0.5616,county_matched
CA-600,CA,los angeles,1,0.7104,county_matched
CA-601,CA,san diego,1,0.6023,county_matched
CA-602,CA,orange,1,0.5349,county_matched
CA-603,CA,santa barbara,1,0.6489,county_matched
CA-604,CA,kern,1,0.4369,county_matched
CA-606,CA,,0,0.635,state_fallback
CA-607,CA,,0,0.635,state_fallback
CA-608,CA,riverside,1,0.53,county_matched
CA-609,CA,san bernardino,1,0.5421,county_matched
CA-611,CA,ventura,1,0.5947,county_matched
CA-612,CA,,0,0.635,state_fallback
CA-613,CA,imperial,1,0.6114,county_matched
CA-614,CA,san luis obispo,1,0.553,county_matched
CO-500,CO,,0,0.554,state_fallback
