coc_id,collaborative_applicant,lead_agency_type,nonprofit_led
AK-501,Alaska Coalition on Housing & Homelessness,nonprofit,1
AL-500,One Roof,nonprofit,1
AL-502,AL-502,ambiguous,
AL-504,"Montgomery Area Coalition for the Homeless, Inc.",nonprofit,1
AL-506,Community Homeless Assessment Local Education and Networking Group,nonprofit,1
AR-500,City of Little Rock,city_govt,0
AR-501,Northwest Arkansas Continuum of Care,nonprofit,1
AR-503,"Ouachita Children, Youth, and Family Services, Inc.",nonprofit,1
AZ-500,Arizona Department of Housing,state_govt,0
AZ-502,Maricopa Association of Governments,regional_govt,0
CA-500,County of Santa Clara by and through Office of Supportive Housing,county_govt,0
CA-501,City and County of San Francisco,county_govt,0
CA-502,Alameda County,county_govt,0
CA-503,Sacramento Steps Forward,nonprofit,1
CA-504,County of Sonoma,county_govt,0
CA-505,Contra Costa Health Services,county_govt,0
CA-506,Coalition of Homeless Services Providers,nonprofit,1
CA-507,County of Marin,county_govt,0
CA-508,County of Santa Cruz,county_govt,0
CA-509,Mendocino County Department of Social Services,state_govt,0
CA-510,Stanislaus County,county_govt,0
CA-511,San Joaquin County,county_govt,0
CA-512,San Mateo County Human Services Agency,county_govt,0
CA-513,Kings/Tulare Continuum of Care on Homelessness,nonprofit,1
CA-515,Homeless Resource Council of the Sierras,nonprofit,1
CA-516,City of Redding,city_govt,0
CA-517,County of Napa,county_govt,0
CA-519,County of Butte,county_govt,0
CA-520,"Merced, County of",county_govt,0
CA-521,Yolo Community Care Continuum,nonprofit,1
CA-522,Humboldt County,county_govt,0
CA-523,Glenn County,county_govt,0
CA-524,Sutter Yuba Homeless Consortium,nonprofit,1
CA-526,Amador Tuolumne Community Action Agency,nonprofit,1
CA-527,The Vitality Project,nonprofit,1
CA-529,Lake County,county_govt,0
CA-530,County of Inyo,county_govt,0
CA-531,Homeless Resource Council of the Sierras,nonprofit,1
CA-600,Los Angeles Homeless Services Authority,nonprofit,1
CA-601,Regional Task Force on the Homeless,nonprofit,1
CA-602,County of Orange,county_govt,0
CA-603,County of Santa Barbara,county_govt,0
CA-604,Bakersfield-Kern Regional Homeless Collaborative,nonprofit,1
