quadrant,year,count,mean,std,se
Blue state × Blue county,2022,68,0.7205735294117648,0.2723083916892247,0.03302224299049235
Blue state × Blue county,2023,90,0.7203555555555555,0.2642120067660644,0.0278503908848194
Blue state × Blue county,2024,131,0.8308015267175572,0.2514495948831137,0.0219692531095151
Blue state × Red county,2022,24,0.645875,0.2615138723562913,0.05338129566102041
Blue state × Red county,2023,29,0.6724137931034483,0.2799048967623237,0.051977034461692495
Blue state × Red county,2024,50,0.81336,0.2686005121030874,0.037985848707654486
Red state × Blue county,2022,13,0.7692307692307693,0.22084087553641943,0.06125023849730163
Red state × Blue county,2023,16,0.729125,0.26442462694184393,0.06610615673546098
Red state × Blue county,2024,26,0.8717692307692307,0.2508236524241377,0.04919056531466509
Red state × Red county,2022,34,0.7205294117647059,0.2864283966045645,0.049122064762320186
Red state × Red county,2023,49,0.7823061224489796,0.25503604353777404,0.03643372050539629
Red state × Red county,2024,75,0.7511466666666666,0.2689754682541188,0.03105861180038422
