field_id,category,coverage_2022,coverage_2023,coverage_2024
1a_1a,panel_safe,0.970,0.984,0.979
1a_1b,panel_safe,0.970,0.984,0.979
1a_2,panel_safe,0.970,0.984,0.979
1a_3,panel_safe,0.970,0.984,0.979
1a_4,panel_safe,0.970,0.979,0.979
1b_1_1_meetings,panel_safe,0.970,0.979,0.979
1b_1_1_voted,panel_safe,0.970,0.979,0.979
1b_1_1_ces,panel_safe,0.970,0.979,0.979
1b_1_2_meetings,panel_safe,0.970,0.979,0.979
1b_1_2_voted,panel_safe,0.970,0.979,0.979
1b_1_2_ces,panel_safe,0.970,0.979,0.979
1b_1_3_meetings,panel_safe,0.970,0.979,0.979
1b_1_3_voted,panel_safe,0.970,0.979,0.979
1b_1_3_ces,panel_safe,0.970,0.979,0.979
1b_1_4_meetings,panel_safe,0.970,0.979,0.979
1b_1_4_voted,panel_safe,0.970,0.979,0.979
1b_1_4_ces,panel_safe,0.970,0.979,0.979
1b_1_5_meetings,panel_safe,0.970,0.979,0.979
1b_1_5_voted,panel_safe,0.970,0.979,0.979
1b_1_5_ces,panel_safe,0.970,0.979,0.979
1b_1_6_meetings,panel_safe,0.970,0.979,0.979
1b_1_6_voted,panel_safe,0.970,0.979,0.979
1b_1_6_ces,panel_safe,0.970,0.979,0.979
1b_1_7_meetings,panel_safe,0.970,0.984,0.979
1b_1_7_voted,panel_safe,0.970,0.984,0.979
1b_1_7_ces,panel_safe,0.970,0.984,0.979
1b_1_8_meetings,panel_safe,0.970,0.974,0.979
1b_1_8_voted,panel_safe,0.970,0.974,0.979
1b_1_8_ces,panel_safe,0.970,0.974,0.979
1b_1_9_meetings,panel_safe,0.970,0.979,0.979
1b_1_9_voted,panel_safe,0.970,0.979,0.979
1b_1_9_ces,panel_safe,0.970,0.979,0.979
1b_1_10_meetings,panel_safe,0.861,0.979,0.979
1b_1_10_voted,panel_safe,0.861,0.979,0.979
1b_1_10_ces,panel_safe,0.861,0.979,0.979
1b_1_11_meetings,panel_safe,0.970,0.979,0.979
1b_1_11_voted,panel_safe,0.970,0.979,0.979
1b_1_11_ces,panel_safe,0.970,0.979,0.979
1b_1_12_meetings,panel_safe,0.970,0.979,0.979
1b_1_12_voted,panel_safe,0.970,0.979,0.979
1b_1_12_ces,panel_safe,0.970,0.979,0.979
1b_1_13_meetings,panel_safe,0.970,0.979,0.979
1b_1_13_voted,panel_safe,0.970,0.979,0.979
1b_1_13_ces,panel_safe,0.970,0.979,0.979
1b_1_14_meetings,panel_safe,0.970,0.979,0.979
1b_1_14_voted,panel_safe,0.970,0.979,0.979
1b_1_14_ces,panel_safe,0.970,0.979,0.979
1b_1_15_meetings,panel_safe,0.970,0.979,0.979
1b_1_15_voted,panel_safe,0.970,0.979,0.979
1b_1_15_ces,panel_safe,0.970,0.979,0.979
1b_1_16_meetings,panel_safe,0.970,0.979,0.979
1b_1_16_voted,panel_safe,0.970,0.979,0.979
1b_1_16_ces,panel_safe,0.970,0.979,0.979
1b_1_17_meetings,panel_safe,0.970,0.979,0.976
1b_1_17_voted,panel_safe,0.970,0.979,0.976
1b_1_17_ces,panel_safe,0.970,0.979,0.976
1b_1_18_meetings,panel_safe,0.970,0.979,0.976
