spec,dv,variable,coef,se,pvalue,n
"DV1 · full (all years, Mundlak)",DV1_full,const,-1.50831,0.75461,0.04563,599
"DV1 · full (all years, Mundlak)",DV1_full,nonprofit_led,0.04284,0.15236,0.77858,599
"DV1 · full (all years, Mundlak)",DV1_full,ple_dm_log,0.11313,0.08668,0.19184,599
"DV1 · full (all years, Mundlak)",DV1_full,ple_ces_bin,-0.29655,0.32734,0.36498,599
"DV1 · full (all years, Mundlak)",DV1_full,hf_pct,-0.21197,0.45688,0.64268,599
"DV1 · full (all years, Mundlak)",DV1_full,hmis_cov,0.54791,0.41928,0.19128,599
"DV1 · full (all years, Mundlak)",DV1_full,log_beds,-0.02081,0.30873,0.94625,599
"DV1 · full (all years, Mundlak)",DV1_full,ple_dm_log_bar,0.172,0.11112,0.12167,599
"DV1 · full (all years, Mundlak)",DV1_full,ple_ces_bin_bar,0.27118,0.40661,0.50481,599
"DV1 · full (all years, Mundlak)",DV1_full,hf_pct_bar,0.99556,0.63715,0.11817,599
"DV1 · full (all years, Mundlak)",DV1_full,hmis_cov_bar,-0.00471,0.58382,0.99356,599
"DV1 · full (all years, Mundlak)",DV1_full,log_beds_bar,0.11084,0.31943,0.72859,599
"DV1 · full (all years, Mundlak)",DV1_full,yr_2023,0.0882,0.10019,0.37867,599
"DV1 · full (all years, Mundlak)",DV1_full,yr_2024,0.56386,0.14567,0.00011,599
DV1 · full FY24 cross-section,DV1_full,const,0.41772,1.11963,0.70908,274
DV1 · full FY24 cross-section,DV1_full,nonprofit_led,0.03636,0.21277,0.8643,274
DV1 · full FY24 cross-section,DV1_full,ple_dm_log,0.21409,0.10784,0.04711,274
DV1 · full FY24 cross-section,DV1_full,ple_ces_bin,0.04353,0.42999,0.91936,274
DV1 · full FY24 cross-section,DV1_full,hf_pct,-0.59107,0.9279,0.52412,274
DV1 · full FY24 cross-section,DV1_full,hmis_cov,0.78064,0.45938,0.08926,274
DV1 · full FY24 cross-section,DV1_full,log_beds,0.06837,0.10964,0.53293,274
DV1 · full DiD,DV1_full,const,-1.88414,0.78006,0.01572,601
DV1 · full DiD,DV1_full,nonprofit_led,0.11194,0.18675,0.5489,601
DV1 · full DiD,DV1_full,post,0.60688,0.19121,0.0015,601
DV1 · full DiD,DV1_full,did,-0.05465,0.25183,0.8282,601
DV1 · full DiD,DV1_full,hf_pct,-0.60402,0.4084,0.13914,601
DV1 · full DiD,DV1_full,hmis_cov,0.6084,0.41457,0.14223,601
DV1 · full DiD,DV1_full,log_beds,0.01655,0.29889,0.95583,601
DV1 · full DiD,DV1_full,ple_ces_bin,-0.22487,0.32614,0.49053,601
DV1 · full DiD,DV1_full,hf_pct_bar,1.37791,0.58146,0.0178,601
DV1 · full DiD,DV1_full,hmis_cov_bar,0.01059,0.57683,0.98536,601
DV1 · full DiD,DV1_full,log_beds_bar,0.18411,0.30781,0.54976,601
DV1 · full DiD,DV1_full,ple_ces_bin_bar,0.29046,0.40953,0.47817,601
"DV2 · engagement-only (all years, Mundlak)",DV2_engagement,const,0.42152,1.47732,0.77539,599
"DV2 · engagement-only (all years, Mundlak)",DV2_engagement,nonprofit_led,0.81137,0.38708,0.03607,599
"DV2 · engagement-only (all years, Mundlak)",DV2_engagement,ple_dm_log,0.20336,0.29069,0.4842,599
"DV2 · engagement-only (all years, Mundlak)",DV2_engagement,ple_ces_bin,-1.14885,0.78616,0.14392,599
"DV2 · engagement-only (all years, Mundlak)",DV2_engagement,hf_pct,0.12097,1.14062,0.91554,599
"DV2 · engagement-only (all years, Mundlak)",DV2_engagement,hmis_cov,0.0546,0.9391,0.95364,599
"DV2 · engagement-only (all years, Mundlak)",DV2_engagement,log_beds,0.17291,0.87796,0.84387,599
"DV2 · engagement-only (all years, Mundlak)",DV2_engagement,ple_dm_log_bar,0.52001,0.28675,0.06976,599
"DV2 · engagement-only (all years, Mundlak)",DV2_engagement,ple_ces_bin_bar,0.73401,0.97788,0.45289,599
"DV2 · engagement-only (all years, Mundlak)",DV2_engagement,hf_pct_bar,1.72477,1.86641,0.35543,599
"DV2 · engagement-only (all years, Mundlak)",DV2_engagement,hmis_cov_bar,1.18307,1.27237,0.35246,599
"DV2 · engagement-only (all years, Mundlak)",DV2_engagement,log_beds_bar,-0.37282,0.91896,0.68497,599
"DV2 · engagement-only (all years, Mundlak)",DV2_engagement,yr_2023,0.04619,0.2109,0.82664,599
"DV2 · engagement-only (all years, Mundlak)",DV2_engagement,yr_2024,-0.39602,0.38705,0.30622,599
DV2 · engagement FY24 cross-section,DV2_engagement,const,2.77967,1.53123,0.06948,274
DV2 · engagement FY24 cross-section,DV2_engagement,nonprofit_led,0.62776,0.43578,0.14971,274
DV2 · engagement FY24 cross-section,DV2_engagement,ple_dm_log,0.6355,0.22536,0.0048,274
DV2 · engagement FY24 cross-section,DV2_engagement,ple_ces_bin,0.39654,0.71063,0.57683,274
DV2 · engagement FY24 cross-section,DV2_engagement,hf_pct,-0.99558,1.30607,0.4459,274
DV2 · engagement FY24 cross-section,DV2_engagement,hmis_cov,1.87265,0.82313,0.0229,274
DV2 · engagement FY24 cross-section,DV2_engagement,log_beds,-0.34552,0.22181,0.11929,274
DV2 · engagement DiD,DV2_engagement,const,-0.88573,1.58908,0.57726,601
DV2 · engagement DiD,DV2_engagement,nonprofit_led,1.15607,0.62933,0.06621,601
DV2 · engagement DiD,DV2_engagement,post,-0.13536,0.43757,0.75706,601
DV2 · engagement DiD,DV2_engagement,did,-0.45388,0.72207,0.52963,601
DV2 · engagement DiD,DV2_engagement,hf_pct,-0.05803,1.17297,0.96054,601
DV2 · engagement DiD,DV2_engagement,hmis_cov,0.22284,0.90778,0.80608,601
DV2 · engagement DiD,DV2_engagement,log_beds,0.29508,0.75209,0.6948,601
DV2 · engagement DiD,DV2_engagement,ple_ces_bin,-1.06332,0.77029,0.16746,601
DV2 · engagement DiD,DV2_engagement,hf_pct_bar,1.93266,1.9506,0.32178,601
DV2 · engagement DiD,DV2_engagement,hmis_cov_bar,1.16198,1.24249,0.34969,601
DV2 · engagement DiD,DV2_engagement,log_beds_bar,-0.20039,0.79849,0.80184,601
DV2 · engagement DiD,DV2_engagement,ple_ces_bin_bar,0.84255,0.97242,0.38625,601
DV3 · FY22+23 panel (identical instrument),DV1_full,const,-2.17845,0.79691,0.00626,325
DV3 · FY22+23 panel (identical instrument),DV1_full,nonprofit_led,0.07575,0.188,0.68699,325
DV3 · FY22+23 panel (identical instrument),DV1_full,ple_dm_log,-0.01537,0.04009,0.70136,325
DV3 · FY22+23 panel (identical instrument),DV1_full,ple_ces_bin,0.45888,0.30301,0.12992,325
DV3 · FY22+23 panel (identical instrument),DV1_full,hf_pct,0.31213,0.17451,0.07368,325
DV3 · FY22+23 panel (identical instrument),DV1_full,hmis_cov,-0.38754,0.39618,0.32798,325
DV3 · FY22+23 panel (identical instrument),DV1_full,log_beds,0.18239,0.29452,0.53573,325
DV3 · FY22+23 panel (identical instrument),DV1_full,ple_dm_log_bar,0.35081,0.11382,0.00205,325
DV3 · FY22+23 panel (identical instrument),DV1_full,ple_ces_bin_bar,-0.68394,0.40709,0.09294,325
DV3 · FY22+23 panel (identical instrument),DV1_full,hf_pct_bar,1.04694,0.50814,0.03937,325
DV3 · FY22+23 panel (identical instrument),DV1_full,hmis_cov_bar,0.81345,0.48918,0.09634,325
DV3 · FY22+23 panel (identical instrument),DV1_full,log_beds_bar,-0.05372,0.31165,0.86313,325
DV3 · FY22+23 panel (identical instrument),DV1_full,yr_2023,0.09561,0.10208,0.34894,325
