panel,variable,coef,se,pvalue,bootstrap_p,n
unbalanced,const,-1.54075,0.73646,0.03643,,594
unbalanced,nonprofit_led,0.05809,0.17248,0.73629,,594
unbalanced,blue_state,-0.29908,0.21578,0.16572,,594
unbalanced,biden_within_state,0.62402,0.85229,0.46407,,594
unbalanced,post,0.15928,0.30155,0.59736,,594
unbalanced,did_np,0.0914,0.27987,0.74397,0.803,594
unbalanced,did_blue,0.57232,0.31142,0.06609,0.095,594
unbalanced,did_within,0.45415,1.55766,0.77062,0.932,594
unbalanced,hf_pct,-0.49791,0.38711,0.19837,,594
unbalanced,hmis_cov,0.59427,0.33139,0.07293,,594
unbalanced,log_beds,-0.11054,0.29611,0.70892,,594
unbalanced,ple_ces_bin,-0.19457,0.38194,0.61045,,594
unbalanced,hf_pct_bar,1.43447,0.4654,0.00205,,594
unbalanced,hmis_cov_bar,0.01539,0.4634,0.9735,,594
unbalanced,log_beds_bar,0.27556,0.27953,0.32423,,594
unbalanced,ple_ces_bin_bar,0.24878,0.51591,0.62965,,594
balanced,const,-2.32096,0.97153,0.0169,,341
balanced,nonprofit_led,0.16672,0.18967,0.3794,,341
balanced,blue_state,-0.31201,0.24131,0.19601,,341
balanced,biden_within_state,-0.19359,1.14708,0.86598,,341
balanced,post,0.29945,0.35684,0.40137,,341
balanced,did_np,0.39139,0.44905,0.38344,0.534,341
balanced,did_blue,0.22501,0.40959,0.58276,0.698,341
balanced,did_within,2.6804,2.04372,0.18968,0.416,341
balanced,hf_pct,-0.36501,0.5004,0.46573,,341
balanced,hmis_cov,0.47949,0.28565,0.09323,,341
balanced,log_beds,-0.00677,0.4778,0.9887,,341
balanced,ple_ces_bin,0.1098,0.39765,0.78246,,341
balanced,hf_pct_bar,1.68936,0.8489,0.04659,,341
balanced,hmis_cov_bar,0.39143,0.59059,0.50748,,341
balanced,log_beds_bar,0.18674,0.45278,0.68002,,341
balanced,ple_ces_bin_bar,-0.14075,0.71192,0.84327,,341
